sample	maternal	paternal
HG00438	GCA_018471515.1	GCA_018472595.1
HG00621	GCA_018472605.1	GCA_018472575.1
HG00673	GCA_018472565.1	GCA_018472585.1
HG00735	GCA_018472765.1	GCA_018472715.1
HG00741	GCA_018471095.1	GCA_018471105.1
HG01071	GCA_018472685.1	GCA_018472725.1
HG01106	GCA_018471345.1	GCA_018471075.1
HG01123	GCA_018469665.1	GCA_018469695.1
HG01175	GCA_018471085.1	GCA_018471065.1
HG01258	GCA_018469405.1	GCA_018469675.1
HG01358	GCA_018469865.1	GCA_018469965.1
HG01361	GCA_018469685.1	GCA_018469705.1
HG01891	GCA_018467155.1	GCA_018467165.1
HG01928	GCA_018472695.1	GCA_018472705.1
HG01952	GCA_018471545.1	GCA_018471555.1
HG01978	GCA_018472865.1	GCA_018472845.1
HG02148	GCA_018471535.1	GCA_018471525.1
HG02257	GCA_018466845.1	GCA_018466835.1
HG02486	GCA_018467015.1	GCA_018467005.1
HG02559	GCA_018466985.1	GCA_018466855.1
HG02572	GCA_018470445.1	GCA_018470435.1
HG02622	GCA_018469875.1	GCA_018469925.1
HG02630	GCA_018469955.1	GCA_018469945.1
HG02717	GCA_018469935.1	GCA_018470425.1
HG02886	GCA_018470455.1	GCA_018470465.1
HG03453	GCA_018472855.1	GCA_018473305.1
HG03516	GCA_018469425.1	GCA_018469415.1
HG03540	GCA_018473295.1	GCA_018473315.1
HG03579	GCA_018472825.1	GCA_018472835.1
HG002	GCA_018852615.1	GCA_018852605.1
HG005	GCA_018506965.1	GCA_018506945.1
HG00733	GCA_018506975.1	GCA_018506955.1
HG01109	GCA_018504365.1	GCA_018504645.1
HG01243	GCA_018504375.1	GCA_018504045.1
HG02055	GCA_018506125.1	GCA_018505855.1
HG02080	GCA_018504085.1	GCA_018504055.1
HG02109	GCA_018505825.1	GCA_018505865.1
HG02145	GCA_018852585.1	GCA_018852595.1
HG02723	GCA_018504065.1	GCA_018504075.1
HG02818	GCA_018503585.1	GCA_018503575.1
HG03098	GCA_018506165.1	GCA_018506155.1
HG03486	GCA_018503525.1	GCA_018503245.1
HG03492	GCA_018505845.1	GCA_018505835.1
NA18906	GCA_018503255.1	GCA_018503285.1
NA19240	GCA_018503275.1	GCA_018503265.1
NA20129	GCA_018504635.1	GCA_018504625.1
NA21309	GCA_018504655.1	GCA_018504665.1
