dropped_contig	size	source
HG002#2#h2tg000012l	20590	Human gammaherpesvirus 4
HG002#2#h2tg000014l	35061	Human gammaherpesvirus 4
HG002#2#h2tg000066l	22155	Human gammaherpesvirus 4
HG002#2#h2tg000095l	33061	Human gammaherpesvirus 4
HG002#2#h2tg000101l	34529	Human gammaherpesvirus 4
HG002#2#h2tg000106l	22221	Human gammaherpesvirus 4
HG002#2#h2tg000123l	31974	Human gammaherpesvirus 4
HG002#2#h2tg000126l	36878	Human gammaherpesvirus 4
HG002#2#h2tg000136l	24689	Human gammaherpesvirus 4
HG002#2#h2tg000144l	35307	Human gammaherpesvirus 4
HG002#2#h2tg000187l	26845	Human gammaherpesvirus 4
HG002#2#h2tg000196l	30878	Human gammaherpesvirus 4
HG002#2#h2tg000220l	29705	Human gammaherpesvirus 4
HG002#2#h2tg000228l	48383	Human gammaherpesvirus 4
HG002#2#h2tg000234l	37449	Human gammaherpesvirus 4
HG002#2#h2tg000240l	20656	Human gammaherpesvirus 4
HG002#2#h2tg000262l	49210	Human gammaherpesvirus 4
HG002#2#h2tg000279l	50687	Human gammaherpesvirus 4
HG002#2#h2tg000293l	31842	Human gammaherpesvirus 4
HG002#2#h2tg000297l	27585	Human gammaherpesvirus 4
HG002#2#h2tg000301l	24762	Human gammaherpesvirus 4
HG002#2#h2tg000302l	34601	Human gammaherpesvirus 4
HG002#2#h2tg000316l	33704	Human gammaherpesvirus 4
HG002#2#h2tg000345l	43055	Human gammaherpesvirus 4
HG002#2#h2tg000352l	39925	Human gammaherpesvirus 4
HG002#2#h2tg000361l	39798	Human gammaherpesvirus 4
HG002#2#h2tg000370l	29079	Human gammaherpesvirus 4
HG002#2#h2tg000379l	27872	Human gammaherpesvirus 4
HG002#2#h2tg000382l	41044	Human gammaherpesvirus 4
HG002#2#h2tg000388l	50899	Human gammaherpesvirus 4
HG002#2#h2tg000403l	70963	Human gammaherpesvirus 4
HG002#2#h2tg000442l	58747	Human gammaherpesvirus 4
HG002#2#h2tg000486l	40910	Human gammaherpesvirus 4
HG002#2#h2tg000493l	50137	Human gammaherpesvirus 4
HG002#2#h2tg000502l	36924	Human gammaherpesvirus 4
HG002#2#h2tg000504l	34067	Human gammaherpesvirus 4
HG002#2#h2tg000514l	44012	Human gammaherpesvirus 4
HG002#2#h2tg000521l	42451	Human gammaherpesvirus 4
HG002#2#h2tg000534l	28390	Human gammaherpesvirus 4
HG002#2#h2tg000540l	31320	Human gammaherpesvirus 4
HG002#1#h1tg000019l	26248	Human gammaherpesvirus 4
HG002#1#h1tg000024l	35061	Human gammaherpesvirus 4
HG002#1#h1tg000086l	20445	Human gammaherpesvirus 4
HG002#1#h1tg000095l	19963	Human gammaherpesvirus 4
HG002#1#h1tg000104l	22512	Human gammaherpesvirus 4
HG002#1#h1tg000126l	25711	Human gammaherpesvirus 4
HG002#1#h1tg000127l	23350	Human gammaherpesvirus 4
HG002#1#h1tg000145l	36878	Human gammaherpesvirus 4
HG002#1#h1tg000155l	24689	Human gammaherpesvirus 4
HG002#1#h1tg000177l	38812	Human gammaherpesvirus 4
