contig_id	genbank_id	source
HG002#1#h1tg000048l	JAHKSE010000042	unclear
HG002#1#h1tg000738c	JAHKSE010000605	Yeast
HG002#2#h2tg000266l	JAHKSD010000211	EBV
HG002#2#h2tg000138l	JAHKSD010000113	EBV
HG002#2#h2tg000541c	JAHKSD010000442	Yeast
HG005#1#h1tg000478l	JAHEPO010000426	EBV
HG005#2#h2tg000437l	JAHEPN010000384	EBV
HG005#2#h2tg000688l	JAHEPN010000484	EBV
HG00733#1#h1tg000623l	JAHEPQ010000580	EBV
HG00733#1#h1tg000595l	JAHEPQ010000553	EBV
HG01109#1#h1tg000438l	JAHEPA010000404	EBV
HG01109#2#h2tg000231l	JAHEOZ010000230	EBV
HG01109#2#h2tg000357l	JAHEOZ010000342	EBV
HG01109#2#h2tg000375l	JAHEOZ010000358	EBV
HG01123#1#h1tg000402l	JAGYYZ010000343	EBV
HG01123#1#h1tg000515l	JAGYYZ010000403	EBV
HG01361#1#h1tg000289l	JAGYYX010000242	EBV
HG01361#1#h1tg000350l	JAGYYX010000268	EBV
HG01361#1#h1tg000293l	JAGYYX010000244	EBV
HG01891#1#h1tg000325l	JAGYVO010000304	EBV
HG01952#1#h1tg000400l	JAHAME010000323	EBV
HG02145#1#h1tg000765l	JAHKSG010000625	EBV
HG02559#1#h1tg000333l	JAGYVK010000240	EBV
HG02630#1#h1tg000447l	JAHAOQ010000407	EBV
HG02630#1#h1tg000374l	JAHAOQ010000354	EBV
HG02723#1#h1tg000283l	JAHEOU010000283	EBV
HG02723#1#h1tg000420l	JAHEOU010000409	EBV
HG02723#1#h1tg000486l	JAHEOU010000465	EBV
HG02723#1#h1tg000542l	JAHEOU010000508	EBV
HG02723#1#h1tg000518l	JAHEOU010000491	EBV
HG02886#1#h1tg000408l	JAHAOU010000378	EBV
HG02886#1#h1tg000546l	JAHAOU010000477	EBV
HG03492#1#h1tg000642l	JAHEPI010000590	EBV
HG03516#1#h1tg000181l	JAGYYT010000175	EBV
HG03516#1#h1tg000401c	JAGYYT010000336	EBV
HG03516#1#h1tg000279l	JAGYYT010000259	EBV
HG03540#1#h1tg000225l	JAGYVY010000223	EBV
NA19240#1#h1tg000413l	JAHEOM010000360	EBV
