f1_v2_contig	f1_v2_genbank_contig
HG02257#2#h2tg000001l	JAGYVH010000001
HG02257#2#h2tg000002l	JAGYVH010000002
HG02257#2#h2tg000003l	JAGYVH010000003
HG02257#2#h2tg000004l	JAGYVH010000004
HG02257#2#h2tg000005l	JAGYVH010000005
HG02257#2#h2tg000006l	JAGYVH010000006
HG02257#2#h2tg000007l	JAGYVH010000007
HG02257#2#h2tg000008l	JAGYVH010000008
HG02257#2#h2tg000009l	JAGYVH010000009
HG02257#2#h2tg000010l	JAGYVH010000010
HG02257#2#h2tg000011l	JAGYVH010000011
HG02257#2#h2tg000012l	JAGYVH010000012
HG02257#2#h2tg000013l	JAGYVH010000013
HG02257#2#h2tg000014l	JAGYVH010000014
HG02257#2#h2tg000015l	JAGYVH010000015
HG02257#2#h2tg000016l	JAGYVH010000016
HG02257#2#h2tg000017l	JAGYVH010000017
HG02257#2#h2tg000018l	JAGYVH010000018
HG02257#2#h2tg000019l	JAGYVH010000019
HG02257#2#h2tg000020l	JAGYVH010000020
HG02257#2#h2tg000021l	JAGYVH010000021
HG02257#2#h2tg000022l	JAGYVH010000022
HG02257#2#h2tg000023l	JAGYVH010000023
HG02257#2#h2tg000024l	JAGYVH010000024
HG02257#2#h2tg000025l	JAGYVH010000025
HG02257#2#h2tg000026l	JAGYVH010000026
HG02257#2#h2tg000027l	JAGYVH010000027
HG02257#2#h2tg000028l	JAGYVH010000028
HG02257#2#h2tg000029l	JAGYVH010000029
HG02257#2#h2tg000030l	JAGYVH010000030
HG02257#2#h2tg000031l	JAGYVH010000031
HG02257#2#h2tg000032l	JAGYVH010000032
HG02257#2#h2tg000033l	JAGYVH010000033
HG02257#2#h2tg000034l	JAGYVH010000034
HG02257#2#h2tg000035l	JAGYVH010000035
HG02257#2#h2tg000036l	JAGYVH010000036
HG02257#2#h2tg000037l	JAGYVH010000037
HG02257#2#h2tg000038l	JAGYVH010000038
HG02257#2#h2tg000039l	JAGYVH010000039
HG02257#2#h2tg000040l	JAGYVH010000040
HG02257#2#h2tg000041l	JAGYVH010000041
HG02257#2#h2tg000042l	JAGYVH010000042
HG02257#2#h2tg000043l	JAGYVH010000043
HG02257#2#h2tg000044l	JAGYVH010000044
HG02257#2#h2tg000045l	JAGYVH010000045
HG02257#2#h2tg000046l	JAGYVH010000046
HG02257#2#h2tg000047l	JAGYVH010000047
HG02257#2#h2tg000048l	JAGYVH010000048
HG02257#2#h2tg000049l	JAGYVH010000049
HG02257#2#h2tg000050l	JAGYVH010000050
HG02257#2#h2tg000051l	JAGYVH010000051
HG02257#2#h2tg000052l	JAGYVH010000052
HG02257#2#h2tg000053l	JAGYVH010000053
HG02257#2#h2tg000054l	JAGYVH010000054
HG02257#2#h2tg000055l	JAGYVH010000055
HG02257#2#h2tg000056l	JAGYVH010000056
HG02257#2#h2tg000057l	JAGYVH010000057
HG02257#2#h2tg000058l	JAGYVH010000058
HG02257#2#h2tg000059l	JAGYVH010000059
HG02257#2#h2tg000060l	JAGYVH010000060
HG02257#2#h2tg000061l	JAGYVH010000061
HG02257#2#h2tg000062l	JAGYVH010000062
HG02257#2#h2tg000063l	JAGYVH010000063
HG02257#2#h2tg000064l	JAGYVH010000064
HG02257#2#h2tg000065l	JAGYVH010000065
HG02257#2#h2tg000066l	JAGYVH010000066
HG02257#2#h2tg000067l	JAGYVH010000067
HG02257#2#h2tg000068l	JAGYVH010000068
HG02257#2#h2tg000069l	JAGYVH010000069
HG02257#2#h2tg000070l	JAGYVH010000070
HG02257#2#h2tg000071l	JAGYVH010000071
HG02257#2#h2tg000072l	JAGYVH010000072
HG02257#2#h2tg000073l	JAGYVH010000073
HG02257#2#h2tg000074l	JAGYVH010000074
HG02257#2#h2tg000075l	JAGYVH010000075
HG02257#2#h2tg000076l	JAGYVH010000076
HG02257#2#h2tg000077l	JAGYVH010000077
HG02257#2#h2tg000078l	JAGYVH010000078
HG02257#2#h2tg000079l	JAGYVH010000079
HG02257#2#h2tg000080l	JAGYVH010000080
HG02257#2#h2tg000081l	JAGYVH010000081
HG02257#2#h2tg000082l	JAGYVH010000082
HG02257#2#h2tg000083l	JAGYVH010000083
HG02257#2#h2tg000084l	JAGYVH010000084
HG02257#2#h2tg000085l	JAGYVH010000085
HG02257#2#h2tg000086l	JAGYVH010000086
HG02257#2#h2tg000087l	JAGYVH010000087
HG02257#2#h2tg000088l	JAGYVH010000088
HG02257#2#h2tg000089l	JAGYVH010000089
HG02257#2#h2tg000090l	JAGYVH010000090
HG02257#2#h2tg000091l	JAGYVH010000091
HG02257#2#h2tg000092l	JAGYVH010000092
HG02257#2#h2tg000093l	JAGYVH010000093
HG02257#2#h2tg000094l	JAGYVH010000094
HG02257#2#h2tg000095l	JAGYVH010000095
HG02257#2#h2tg000096l	JAGYVH010000096
HG02257#2#h2tg000097l	JAGYVH010000097
HG02257#2#h2tg000098l	JAGYVH010000098
HG02257#2#h2tg000099l	JAGYVH010000099
HG02257#2#h2tg000100l	JAGYVH010000100
HG02257#2#h2tg000101l	JAGYVH010000101
